sentence,relation,entities,sentence_no_tags
The river had now turned into full <e1>flood</e1> after the <e2>deluge</e2> of rain a few days ago.,1,"['flood', 'deluge']",The river had now turned into full flood after the deluge of rain a few days ago.
She mentioned the <e1>scandal</e1> caused by a BBC <e2>documentary</e2> on the treatment of children in a special-needs home and asked how the state had responded to these.,1,"['scandal', 'documentary']",She mentioned the scandal caused by a BBC documentary on the treatment of children in a special-needs home and asked how the state had responded to these.
The World Health Organization(WHO) found that the <e1>radiation</e1> release from the Chernobyl <e2>accident</e2> was 200 times that of the Hiroshima and Nagasaki.,1,"['radiation', 'accident']",The World Health Organization(WHO) found that the radiation release from the Chernobyl accident was 200 times that of the Hiroshima and Nagasaki.
"Also, in the midst of the <e1>confusion</e1> caused by the <e2>coup</e2>, the issuing of militant posters was a way for artists and organizations to declare their active engagement against the rebellion.",1,"['confusion', 'coup']","Also, in the midst of the confusion caused by the coup, the issuing of militant posters was a way for artists and organizations to declare their active engagement against the rebellion."
The <e1>accident</e1> caused a major traffic <e2>snarl</e2> on the arterial road.,0,"['accident', 'snarl']",The accident caused a major traffic snarl on the arterial road.
"The various forms of idealistic, materialistic and agnostic philosophies are subject to the <e1>tension</e1> caused by the indicated <e2>situation</e2>.",1,"['tension', 'situation']","The various forms of idealistic, materialistic and agnostic philosophies are subject to the tension caused by the indicated situation."
<e1>Contractions</e1> of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by <e2>irritation</e2> anywhere along the length of the nerve.,1,"['Contractions', 'irritation']",Contractions of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by irritation anywhere along the length of the nerve.
Plantar <e1>warts</e1> are caused by a <e2>virus</e2> that infects the outer layer of skin on the soles of the feet.,1,"['warts', 'virus']",Plantar warts are caused by a virus that infects the outer layer of skin on the soles of the feet.
The stong <e1>earthquake</e1> caused a <e2>blackout</e2> on the sound stage and short-circuited some of the neon-tubed violins.,0,"['earthquake', 'blackout']",The stong earthquake caused a blackout on the sound stage and short-circuited some of the neon-tubed violins.
"Tension Release by Mega Food contains Sensoril, a clinically studied extract of a Ashwagandha that helps to inhibit fatigue and physical <e1>tension</e1> from everyday <e2>stress</e2>.",1,"['tension', 'stress']","Tension Release by Mega Food contains Sensoril, a clinically studied extract of a Ashwagandha that helps to inhibit fatigue and physical tension from everyday stress."
"<e1>Cardiovascular disease</e1> is one of the leading causes of <e2>morbidity</e2> and mortality in the UK, as well as in the developed and the developing world.",0,"['Cardiovascular disease', 'morbidity']","Cardiovascular disease is one of the leading causes of morbidity and mortality in the UK, as well as in the developed and the developing world."
<e1>Dizziness</e1> from nasal and <e2>sinus pressure</e2> usually can be seen on a good nasal examination and a CT of the sinuses.,1,"['Dizziness', 'sinus pressure']",Dizziness from nasal and sinus pressure usually can be seen on a good nasal examination and a CT of the sinuses.
This <e1>meeting</e1> establishes the <e2>laws</e2> which govern the church and the priorities for the coming year.,0,"['meeting', 'laws']",This meeting establishes the laws which govern the church and the priorities for the coming year.
"Phobia like <e1>fear</e1> from <e2>crowd</e2>, fear from insects, fear from height etc all contribute in developing the anxiety disorder.",1,"['fear', 'crowd']","Phobia like fear from crowd, fear from insects, fear from height etc all contribute in developing the anxiety disorder."
The hidden preamble or timing signal is employed to mark the time of commencement of the <e1>transmission</e1> of information pulses from a <e2>transmitter</e2>.,1,"['transmission', 'transmitter']",The hidden preamble or timing signal is employed to mark the time of commencement of the transmission of information pulses from a transmitter.
"Doe's <e1>confrontation</e1> with the flight attendant caused a <e2>commotion</e2> on the plane, prolonged the flight's delay, and added to the aggravation already being felt by the passengers and crew.",0,"['confrontation', 'commotion']","Doe's confrontation with the flight attendant caused a commotion on the plane, prolonged the flight's delay, and added to the aggravation already being felt by the passengers and crew."
"The increase of the signal might correspond to formation of the high-density excitons, while the <e1>reduction</e1> of the signal originates from the <e2>relaxation</e2>.",1,"['reduction', 'relaxation']","The increase of the signal might correspond to formation of the high-density excitons, while the reduction of the signal originates from the relaxation."
We estimate a wind speed associated with the <e1>devastation</e1> caused by the <e2>tornado</e2>.,1,"['devastation', 'tornado']",We estimate a wind speed associated with the devastation caused by the tornado.
"The basic <e1>indicator</e1> of the health <e2>condition</e2> of trees, stands and forests is tree defoliation.",1,"['indicator', 'condition']","The basic indicator of the health condition of trees, stands and forests is tree defoliation."
The <e1>deficits</e1> are caused by <e2>people</e2> saving too much of their money.,1,"['deficits', 'people']",The deficits are caused by people saving too much of their money.
"Heat, <e1>wind</e1> and smoke cause flight <e2>delays</e2>.",0,"['wind', 'delays']","Heat, wind and smoke cause flight delays."
"In developing countries four-fifths of all the <e1>illnesses</e1> are caused by water-borne <e2>diseases</e2>, with diarrhoea being the leading cause of childhood death.",1,"['illnesses', 'diseases']","In developing countries four-fifths of all the illnesses are caused by water-borne diseases, with diarrhoea being the leading cause of childhood death."
The <e1>destruction</e1> caused by the <e2>bombing</e2> of Attorney General Palmer's home.,1,"['destruction', 'bombing']",The destruction caused by the bombing of Attorney General Palmer's home.
The second biggest factor affecting the <e1>sound</e1> produced by a <e2>drum</e2> is the tension at which the drum head is held against the shell of the drum.,1,"['sound', 'drum']",The second biggest factor affecting the sound produced by a drum is the tension at which the drum head is held against the shell of the drum.
The largest <e1>landslide</e1> triggered by the <e2>earthquake</e2> is located approximately 32 kilometers southeast of Muzafarrabad in a tributary valley of the Jhelum River.,1,"['landslide', 'earthquake']",The largest landslide triggered by the earthquake is located approximately 32 kilometers southeast of Muzafarrabad in a tributary valley of the Jhelum River.
"The <e1>debris</e1> caused a <e2>crash</e2> on the Schuylkill, and it has been closed for hours because of the mishap.",0,"['debris', 'crash']","The debris caused a crash on the Schuylkill, and it has been closed for hours because of the mishap."
"A <e1>fire</e1> triggered by the <e2>blasts</e2> damaged eight buildings at the plant, including one that was burned down.",1,"['fire', 'blasts']","A fire triggered by the blasts damaged eight buildings at the plant, including one that was burned down."
Mechanical <e1>faults</e1> caused delays and <e2>cancellations</e2> on Wellington's suburban train services this morning.,0,"['faults', 'cancellations']",Mechanical faults caused delays and cancellations on Wellington's suburban train services this morning.
Relieve spinal stenosis by enlarging the spinal canal to relieve <e1>pressure</e1> on the spinal cord that has been caused by a herniated or bulging <e2>disc</e2>.,1,"['pressure', 'disc']",Relieve spinal stenosis by enlarging the spinal canal to relieve pressure on the spinal cord that has been caused by a herniated or bulging disc.
Passengers have rights in the event of a delay or <e1>cancellation</e1> that has been caused by the <e2>airline</e2>.,1,"['cancellation', 'airline']",Passengers have rights in the event of a delay or cancellation that has been caused by the airline.
However Susanoo was in <e1>sorrow</e1> after the <e2>loss</e2> of his mother and he was raging in his kingdom.,1,"['sorrow', 'loss']",However Susanoo was in sorrow after the loss of his mother and he was raging in his kingdom.
But the <e1>earthquake</e1> triggered by the <e2>eruption</e2> of Thera struck first.,1,"['earthquake', 'eruption']",But the earthquake triggered by the eruption of Thera struck first.
"<e1>Diabetes mellitus</e1> is one of the leading causes of irreversible <e2>blindness</e2> worldwide, and, in the United States.",0,"['Diabetes mellitus', 'blindness']","Diabetes mellitus is one of the leading causes of irreversible blindness worldwide, and, in the United States."
Getting help has reduced the time to reverse all the <e1>irritation</e1> that had been caused by the <e2>fungus</e2>.,1,"['irritation', 'fungus']",Getting help has reduced the time to reverse all the irritation that had been caused by the fungus.
"On the other hand, the higher the <e1>satisfaction</e1> from the <e2>purchase</e2>, the greater the benefit of word-of-mouth referrals and repeat purchasing.",1,"['satisfaction', 'purchase']","On the other hand, the higher the satisfaction from the purchase, the greater the benefit of word-of-mouth referrals and repeat purchasing."
District Judge without a jury and judgment was entered for the defendants on the ground that the <e1>accident</e1> was caused by the plaintiff's own <e2>negligence</e2>.,1,"['accident', 'negligence']",District Judge without a jury and judgment was entered for the defendants on the ground that the accident was caused by the plaintiff's own negligence.
The children descend the ladder after hearing the fire <e1>alarm</e1> which has been triggered by the wood work workshop catching <e2>fire</e2>.,1,"['alarm', 'fire']",The children descend the ladder after hearing the fire alarm which has been triggered by the wood work workshop catching fire.
The <e1>incident</e1> caused a brief <e2>sensation</e2> on the Web among people suspicious that it was a political commentary.,0,"['incident', 'sensation']",The incident caused a brief sensation on the Web among people suspicious that it was a political commentary.
"And this is frequently cited as ""proof"" that saturated fats and <e1>cholesterol</e1> cause heart <e2>disease</e2>.",0,"['cholesterol', 'disease']","And this is frequently cited as ""proof"" that saturated fats and cholesterol cause heart disease."
"Many commercial soap, shower gel or cleanser products contain <e1>preservatives</e1>, colorants and chemicals that cause dryness, rashes, <e2>itchiness</e2> and roughness on the skin.",0,"['preservatives', 'itchiness']","Many commercial soap, shower gel or cleanser products contain preservatives, colorants and chemicals that cause dryness, rashes, itchiness and roughness on the skin."
Birchwood and Stockton Heath were called to the scene after <e1>pyrotechnics</e1> used during one of the performances caused a <e2>fire</e2> on the main stage.,0,"['pyrotechnics', 'fire']",Birchwood and Stockton Heath were called to the scene after pyrotechnics used during one of the performances caused a fire on the main stage.
Like a catch-22 the worst part is that acne causes stress and <e1>stress</e1> triggers acne <e2>breakouts</e2>.,0,"['stress', 'breakouts']",Like a catch-22 the worst part is that acne causes stress and stress triggers acne breakouts.
The US patent system is in a <e1>crisis</e1> that has been caused by the <e2>flood</e2> of patent applications being filed at the USPTO every year.,1,"['crisis', 'flood']",The US patent system is in a crisis that has been caused by the flood of patent applications being filed at the USPTO every year.
Viral gastroenteritis is a highly contagious <e1>infection</e1> of the intestines caused by one of several <e2>viruses</e2>.,1,"['infection', 'viruses']",Viral gastroenteritis is a highly contagious infection of the intestines caused by one of several viruses.
Diet fizzy <e1>drinks</e1> and meat cause heart disease and <e2>diabetes</e2>.,0,"['drinks', 'diabetes']",Diet fizzy drinks and meat cause heart disease and diabetes.
"We explore the experience of <e1>grief</e1> after the <e2>loss</e2> of a parent and offers support; we also make simple suggestions, and we provide a place for sharing memories.",1,"['grief', 'loss']","We explore the experience of grief after the loss of a parent and offers support; we also make simple suggestions, and we provide a place for sharing memories."
The war <e1>mentality</e1> was generated by the Iraq <e2>war</e2> in combination with the constant drum beat of fear at home.,1,"['mentality', 'war']",The war mentality was generated by the Iraq war in combination with the constant drum beat of fear at home.
<e1>Preeclampsia</e1> is still one of the leading causes of maternal <e2>mortality</e2>.,0,"['Preeclampsia', 'mortality']",Preeclampsia is still one of the leading causes of maternal mortality.
The <e1>demolition</e1> was the cause of <e2>terror</e2> and communal divide is just a way of not letting truth prevail.,0,"['demolition', 'terror']",The demolition was the cause of terror and communal divide is just a way of not letting truth prevail.
"The <e1>outbreak</e1> resulted in 256 deaths and 3,402 <e2>injuries</e2>.",0,"['outbreak', 'injuries']","The outbreak resulted in 256 deaths and 3,402 injuries."
"Sip the tea slowly to reduce stomach <e1>pain</e1> from <e2>indigestion</e2>, bloating and feeling of fullness.",1,"['pain', 'indigestion']","Sip the tea slowly to reduce stomach pain from indigestion, bloating and feeling of fullness."
"<e1>Alcohol</e1>, substance abuse and poverty all lead to <e2>child abuse</e2>.",0,"['Alcohol', 'child abuse']","Alcohol, substance abuse and poverty all lead to child abuse."
The ATM <e1>malfunction</e1> caused a <e2>rush</e2> on the ATM machine until the police sealed off the area.,0,"['malfunction', 'rush']",The ATM malfunction caused a rush on the ATM machine until the police sealed off the area.
"<e1>Sodium</e1> causes fluid <e2>retention</e2>, which can lead to edema (swelling), increased blood pressure, and in those susceptible patients, congestive heart failure.",0,"['Sodium', 'retention']","Sodium causes fluid retention, which can lead to edema (swelling), increased blood pressure, and in those susceptible patients, congestive heart failure."
In businesses generally the third party claims for the <e1>damages</e1> that has been caused by the company <e2>vehicle</e2>.,1,"['damages', 'vehicle']",In businesses generally the third party claims for the damages that has been caused by the company vehicle.
The <e1>law</e1> established a major <e2>redistribution</e2> of territorial sovereignty within the Empire.,0,"['law', 'redistribution']",The law established a major redistribution of territorial sovereignty within the Empire.
Infectious mononucleosis due to the Epstein-Barr <e1>virus</e1> causes exudative <e2>tonsillitis</e2> or pharyngitis in about one-half of cases.,0,"['virus', 'tonsillitis']",Infectious mononucleosis due to the Epstein-Barr virus causes exudative tonsillitis or pharyngitis in about one-half of cases.
"During the trial, the prosecution presented ""pictures of burning bodies and human remains as well as images of the <e1>explosion</e1> triggered by the Pentagon <e2>crash</e2>.""",1,"['explosion', 'crash']","During the trial, the prosecution presented ""pictures of burning bodies and human remains as well as images of the explosion triggered by the Pentagon crash."""
Extensive <e1>damage</e1> at the mine has been caused by the <e2>strikers</e2>.,1,"['damage', 'strikers']",Extensive damage at the mine has been caused by the strikers.
"I too, get a <e1>headache</e1> from <e2>wine</e2>, and was always told that it was the sulfites.",1,"['headache', 'wine']","I too, get a headache from wine, and was always told that it was the sulfites."
"Describing all of the <e1>harm</e1> caused by the <e2>hurricane</e2> has filled entire books so this Web page summarizes the total damage and focuses on the damage incurred on Long Island, New York.",1,"['harm', 'hurricane']","Describing all of the harm caused by the hurricane has filled entire books so this Web page summarizes the total damage and focuses on the damage incurred on Long Island, New York."
"Information is included on the <e1>disease</e1> caused by the <e2>organism</e2>, its transmission, geographical distribution, and hosts.",1,"['disease', 'organism']","Information is included on the disease caused by the organism, its transmission, geographical distribution, and hosts."
"<e1>Infection</e1> is one of the commonest causes of <e2>death</e2> in burn patients, particularly.",0,"['Infection', 'death']","Infection is one of the commonest causes of death in burn patients, particularly."
I was diagnosed with bipolar disorder following a <e1>breakdown</e1> triggered by the sudden <e2>death</e2> of my brother six years ago.,1,"['breakdown', 'death']",I was diagnosed with bipolar disorder following a breakdown triggered by the sudden death of my brother six years ago.
The reactor <e1>meltdown</e1> caused a chain <e2>reaction</e2> that destroyed all the towers in the network.,0,"['meltdown', 'reaction']",The reactor meltdown caused a chain reaction that destroyed all the towers in the network.
<e1>Convulsions</e1> that occur after DTaP are caused by a <e2>fever</e2>.,1,"['Convulsions', 'fever']",Convulsions that occur after DTaP are caused by a fever.
"As the vehicles caught <e1>fire</e1> after the <e2>collision</e2>, the transformers began to explode one after the other.",1,"['fire', 'collision']","As the vehicles caught fire after the collision, the transformers began to explode one after the other."
<e1>Fog</e1> or smoke cause <e2>irritation</e2> to those with respiratory sensitivity.,0,"['Fog', 'irritation']",Fog or smoke cause irritation to those with respiratory sensitivity.
"The <e1>sinking</e1> resulted in the <e2>loss</e2> of 112 lives, including those of 28 Americans.",0,"['sinking', 'loss']","The sinking resulted in the loss of 112 lives, including those of 28 Americans."
Chronic daily headaches are tension headaches or <e1>headaches</e1> which are caused by taking too many <e2>pain killers</e2>.,1,"['headaches', 'pain killers']",Chronic daily headaches are tension headaches or headaches which are caused by taking too many pain killers.
"Pneumococcal <e1>meningitis</e1> is caused by pneumococcus <e2>bacteria</e2>, which also cause several diseases of the respiratory system, including pneumonia.",1,"['meningitis', 'bacteria']","Pneumococcal meningitis is caused by pneumococcus bacteria, which also cause several diseases of the respiratory system, including pneumonia."
Also (on a proportional basis) the <e1>rainbow</e1> caused by the <e2>spray</e2> appeared smaller than that of the other rainbow.,1,"['rainbow', 'spray']",Also (on a proportional basis) the rainbow caused by the spray appeared smaller than that of the other rainbow.
The <e1>changes</e1> now seen in the endometrium are caused by a <e2>hormone</e2> called progesterone.,1,"['changes', 'hormone']",The changes now seen in the endometrium are caused by a hormone called progesterone.
"The <e1>waste</e1>, a mixture of gasoline, water and caustic soda, gave off toxic <e2>fumes</e2>.",0,"['waste', 'fumes']","The waste, a mixture of gasoline, water and caustic soda, gave off toxic fumes."
<e1>Weak ligaments</e1> are caused by <e2>problems</e2> with collagen (protein fibres in the ligaments).,1,"['Weak ligaments', 'problems']",Weak ligaments are caused by problems with collagen (protein fibres in the ligaments).
This article discusses the ethics of the Soldier of Fortune's guns-for-hire <e1>advertisements</e1> that resulted in several <e2>murders</e2> across the United States.,0,"['advertisements', 'murders']",This article discusses the ethics of the Soldier of Fortune's guns-for-hire advertisements that resulted in several murders across the United States.
"The <e1>battle</e1> caused a <e2>panic</e2> on the frontier, and settlers in the surrounding counties fled.",0,"['battle', 'panic']","The battle caused a panic on the frontier, and settlers in the surrounding counties fled."
"For decades, most of the nation's renewable <e1>power</e1> has come from <e2>dams</e2>, which supplied cheap electricity without requiring fossil fuels.",1,"['power', 'dams']","For decades, most of the nation's renewable power has come from dams, which supplied cheap electricity without requiring fossil fuels."
"The optical <e1>signal</e1> is generated by an externally modulated tunable <e2>laser</e2>, and introduced to the chip through a tapered fiber.",1,"['signal', 'laser']","The optical signal is generated by an externally modulated tunable laser, and introduced to the chip through a tapered fiber."
The <e1>byelection</e1> was caused by the <e2>resignation</e2> of Boris Johnson following his election as mayor of London in May.,1,"['byelection', 'resignation']",The byelection was caused by the resignation of Boris Johnson following his election as mayor of London in May.
Swissair was a victim of the clandestine wealth-transfer plaguing the productive sector as a result of the falling interest-rate <e1>structure</e1> caused by bond <e2>speculation</e2>.,1,"['structure', 'speculation']",Swissair was a victim of the clandestine wealth-transfer plaguing the productive sector as a result of the falling interest-rate structure caused by bond speculation.
He received reports from the residence hall presidents regarding <e1>evacuation</e1> after the fire <e2>drill</e2>.,1,"['evacuation', 'drill']",He received reports from the residence hall presidents regarding evacuation after the fire drill.
"The <e1>tsunamis</e1> triggered by the massive <e2>earthquakes</e2> plunged those provinces into crisis: the number of people dead and missing has reached to 245,782 people.",1,"['tsunamis', 'earthquakes']","The tsunamis triggered by the massive earthquakes plunged those provinces into crisis: the number of people dead and missing has reached to 245,782 people."
We have to take into account the reality of the <e1>damage</e1> that has been caused by the <e2>deregulation</e2> of nutritional supplements.,1,"['damage', 'deregulation']",We have to take into account the reality of the damage that has been caused by the deregulation of nutritional supplements.
"<e1>Estrogen dominance</e1> is one of the main causes of <e2>osteoporosis</e2>, cancer, ovarian cysts, fibroids and a host of other female problems in the U.S.",0,"['Estrogen dominance', 'osteoporosis']","Estrogen dominance is one of the main causes of osteoporosis, cancer, ovarian cysts, fibroids and a host of other female problems in the U.S."
The great news is that <e1>germs</e1> causing recreational water <e2>illnesses</e2> are killed by chlorine.,0,"['germs', 'illnesses']",The great news is that germs causing recreational water illnesses are killed by chlorine.
The <e1>disruption</e1> has been caused by a sensitivity reaction in the brain to an ingested <e2>substance</e2>.,1,"['disruption', 'substance']",The disruption has been caused by a sensitivity reaction in the brain to an ingested substance.
"The enormous <e1>landslide</e1>, which was triggered by an exceptionally heavy <e2>rainfall</e2> event (500 mm in 24 h) on 30 October 1998.",1,"['landslide', 'rainfall']","The enormous landslide, which was triggered by an exceptionally heavy rainfall event (500 mm in 24 h) on 30 October 1998."
The heated <e1>gas</e1> caused a <e2>pyrolysis</e2> on the lower part of oil shale and produced shale oil and oil shale gas are escaped from the retort through exhaust pipe.,0,"['gas', 'pyrolysis']",The heated gas caused a pyrolysis on the lower part of oil shale and produced shale oil and oil shale gas are escaped from the retort through exhaust pipe.
The low oil <e1>prices</e1> caused the <e2>collapse</e2> of the wall and the Russian empire.,0,"['prices', 'collapse']",The low oil prices caused the collapse of the wall and the Russian empire.
The <e1>pain</e1> was caused by the <e2>parasite</e2> entering the body through the skin during bathing or drinking of infested water.,1,"['pain', 'parasite']",The pain was caused by the parasite entering the body through the skin during bathing or drinking of infested water.
"The <e1>reaction</e1> starts at a rather low <e2>temperature</e2> ( + 5C), and the calorimeter is run from 40 to 130C.",1,"['reaction', 'temperature']","The reaction starts at a rather low temperature ( + 5C), and the calorimeter is run from 40 to 130C."
I derive a tremendous amount of <e1>joy</e1> from <e2>teaching</e2> students in the research laboratory.,1,"['joy', 'teaching']",I derive a tremendous amount of joy from teaching students in the research laboratory.
A very serious <e1>problem</e1> ensued from the <e2>events</e2> of the day.,1,"['problem', 'events']",A very serious problem ensued from the events of the day.
A first <e1>revolution</e1> was triggered by the growing use of reading and <e2>writing</e2>.,1,"['revolution', 'writing']",A first revolution was triggered by the growing use of reading and writing.
"The <e1>vibration</e1> caused by a heavy goods <e2>train</e2> on the Metropolitan Railway, which runs under the Exhibition premises, had shaken the figure off its balance.",1,"['vibration', 'train']","The vibration caused by a heavy goods train on the Metropolitan Railway, which runs under the Exhibition premises, had shaken the figure off its balance."
"Voltage <e1>surges</e1> or spikes are caused by <e2>lightning</e2>, short circuits, power company equipment problems, and inductive spikes, among many other causes.",1,"['surges', 'lightning']","Voltage surges or spikes are caused by lightning, short circuits, power company equipment problems, and inductive spikes, among many other causes."
